Feature,Recall,Threshold,Cluster,TimeTrainClus,TimeTrainCommDetect,Accuracy,F1Score,Precision,TimeTrainMatrix
1,0.7505010020040079,0.8,2,0.43750500679016113,10.93764328956604,0.502,0.6015987251159203,0.502,4.40630841255188
2,0.6701591127178594,0.8,2,0.6093838214874268,10.93764352798462,0.622,0.6451821049092809,0.622,5.421946287155151
3,0.6935412519354125,0.8,2,0.5937578678131104,11.047019720077515,0.654,0.6731904913698324,0.654,6.2969582080841064
4,0.723613595706619,0.8,2,0.5469093322753906,10.718891143798828,0.692,0.7074537991831452,0.692,7.312596082687378
5,0.723613595706619,0.8,2,0.546882152557373,10.81264328956604,0.692,0.7074537991831452,0.692,8.312610149383545
6,0.6863765056708716,0.8,2,0.42188072204589844,10.82826852798462,0.678,0.6821625393146582,0.6779999999999999,9.312622785568237
7,0.7126814882032668,0.8,2,0.48438334465026855,11.03139615058899,0.68,0.6959572825276025,0.6799999999999999,10.125133752822876
8,0.7111486486486487,0.8,2,0.48438215255737305,11.031395435333252,0.676,0.6931290124599363,0.6759999999999999,11.18764877319336
9,0.7236300927719066,0.8,2,0.43750572204589844,11.156397581100464,0.694,0.7085053949465022,0.694,12.281411170959473
10,0.7037752037752039,0.8,2,0.46875667572021484,10.703266143798828,0.69,0.696819529131488,0.69,12.953295469284058
11,0.7088447899618112,0.8,2,0.45313477516174316,10.75014066696167,0.696,0.7023636736793276,0.696,14.234562873840332
12,0.6983840715625451,0.8,2,0.4844093322753906,10.62514066696167,0.698,0.698191982962364,0.698,14.718944311141968
13,0.6983840715625451,0.8,2,0.48438191413879395,11.187647342681885,0.698,0.698191982962364,0.698,15.750208616256714
14,0.7060824329731892,0.8,2,0.515632152557373,11.250148296356201,0.706,0.7060412140805045,0.706,16.812721729278564
15,0.7100302443551871,0.8,2,0.48438215255737305,11.140772581100464,0.71,0.7100151218555155,0.71,17.68773365020752
16,0.7005754440325347,0.8,2,0.625009298324585,10.937644243240356,0.674,0.6870308229756972,0.6739999999999999,18.68774437904358
17,0.7100840336134454,0.8,2,0.5000231266021729,10.843892097473145,0.71,0.710042014320374,0.71,19.422128915786743
18,0.7020808323329332,0.8,2,0.5000340938568115,10.937644004821777,0.702,0.702040413839725,0.702,20.92215132713318
19,0.6784826169963581,0.8,2,0.5312576293945312,10.734517097473145,0.678,0.6782412226440876,0.6779999999999999,21.437758207321167
20,0.6784826169963581,0.8,2,0.5000355243682861,10.906394481658936,0.678,0.6782412226440876,0.6779999999999999,22.515920639038086
