Feature,Accuracy,TimeTrainMatrix,TimeTrainCommDetect,Threshold,Precision,Cluster,F1Score,TimeTrainClus,Recall
1,0.6333333333333333,3.2031874656677246,3.5000689029693604,0.8,0.6333333333333333,3,0.6886170362022693,0.031250953674316406,0.7544752214056906
2,0.6333333333333333,3.2188141345977783,3.5313191413879395,0.8,0.6333333333333333,3,0.6886170362022693,0.0156252384185791,0.7544752214056906
3,0.6333333333333333,3.375066041946411,3.593820333480835,0.8,0.6333333333333333,3,0.5217098336491893,0.015626192092895508,0.44353741496598637
4,0.6333333333333333,3.3281915187835693,3.6094448566436768,0.8,0.6333333333333333,3,0.517795403701444,0.031249284744262695,0.43790849673202614
5,0.6666666666666666,3.3281896114349365,3.6094462871551514,0.8,0.6666666666666666,3,0.6706500090530509,0.031250715255737305,0.674681238615665
6,0.65,3.343794107437134,3.656301736831665,0.8,0.65,3,0.6462853634345629,0.0156252384185791,0.6426129426129427
7,0.6666666666666666,3.296919345855713,3.718799591064453,0.8,0.6666666666666666,3,0.6951498340751572,0.015625,0.7261755016471998
8,0.6083333333333333,3.343794822692871,3.5000460147857666,0.8,0.6083333333333333,3,0.49290829397783753,0.015625476837158203,0.41429924242424243
9,0.625,3.3594188690185547,3.515671730041504,0.8,0.625,3,0.580479765610694,0.015625953674316406,0.5418803418803418
10,0.65,3.343794584274292,3.5000452995300293,0.8,0.65,3,0.7019996336118823,0.015625,0.7630426125049782
11,0.625,3.31254506111145,3.5000462532043457,0.8,0.625,3,0.6083678517149923,0.0312497615814209,0.5925979680696661
12,0.65,3.3437933921813965,3.609421730041504,0.8,0.65,3,0.7019996336118823,0.015625476837158203,0.7630426125049782
13,0.6333333333333333,3.3594207763671875,3.53129506111145,0.8,0.6333333333333333,3,0.6906050605060505,0.015624046325683594,0.7592646347363328
14,0.6333333333333333,3.4375457763671875,3.718798875808716,0.8,0.6333333333333333,3,0.6430121816168328,0.015624523162841797,0.652991452991453
15,0.6416666666666667,3.421922206878662,3.5000455379486084,0.8,0.6416666666666666,3,0.6642047971647365,0.031249046325683594,0.6883838383838384
16,0.6416666666666667,3.46879506111145,3.5000462532043457,0.8,0.6416666666666666,3,0.6642047971647365,0.015625476837158203,0.6883838383838384
17,0.6333333333333333,3.4531712532043457,3.6094231605529785,0.8,0.6333333333333333,3,0.6454518214117547,0.015624523162841797,0.6580431177446103
18,0.6333333333333333,3.4687960147857666,3.593796730041504,0.8,0.6333333333333333,3,0.6454518214117547,0.015625,0.6580431177446103
19,0.6333333333333333,4.328182220458984,3.593796730041504,0.8,0.6333333333333333,3,0.6454518214117547,0.0156252384185791,0.6580431177446103
20,0.65,3.5781729221343994,3.7344229221343994,0.8,0.65,3,0.6789014735406644,0.015624761581420898,0.7104926819212535
